00341	-8.718774	05C31D4B	Technical University Of Denmark
00342	-8.720871	05A3DA1F	University Of Twente
00343	-8.728255	071126B7	University Of Bern
00344	-8.731454	0531364E	Catholic University Of Korea
00345	-8.732726	4F8CCD61	Jet Propulsion Laboratory
00346	-8.736822	4C81EC14	Novartis
00347	-8.738123	031AFA6D	University Of York
00348	-8.738327	33B1A617	University Of Texas Southwestern Medical Center
00349	-8.741128	02870E7F	Gifu University
00350	-8.743537	01AFAF1B	University Of Surrey
00351	-8.745776	048AB435	University Of Jena
00352	-8.747008	0C34AB7F	Norwegian University Of Science And Technology
00353	-8.749586	083956B4	Shinshu University
00354	-8.750332	04C900C3	University Of Otago
00355	-8.756623	035B7FBD	Department Of Biotechnology
00356	-8.756843	0527EA39	University Of Delaware
00357	-8.758216	01F2F43E	Joint Institute For Nuclear Research
00358	-8.759348	074492CB	Institute Of Mathematics
00359	-8.763945	0474FB72	Rice University
00360	-8.764159	09490884	University Of South Carolina
00361	-8.766815	03CAFC05	Autonomous University Of Madrid
00362	-8.768812	0A968F8B	University Of Dundee
00363	-8.769815	4CABD435	United States Geological Survey
00364	-8.770276	01F1D439	University Of Saskatchewan
00365	-8.771049	0027E0B8	University Of South Florida
00366	-8.772120	089249D9	Loughborough University
00367	-8.773671	043F74E8	University Of Naples Federico Ii
00368	-8.774907	34340A06	Inaf
00369	-8.775688	0179F162	Bulgarian Academy Of Sciences
00370	-8.784264	0368E8BE	New York University
00371	-8.785432	01741490	Indiana University School Of Medicine
00372	-8.789652	0407352D	Istanbul University
00373	-8.790456	07BE273D	Dalhousie University
00374	-8.793591	0A146396	University Of The Basque Country
00375	-8.794119	0A1AB335	University Of New Mexico
00376	-8.794696	06A1F65B	Chonnam National University
00377	-8.795367	0BF77E37	Hong Kong University Of Science And Technology
00378	-8.796057	4CE6FC2D	Microsoft
00379	-8.797199	06F892B4	Tongji University
00380	-8.798146	0180C94B	University Of Pavia
00381	-8.798960	041C3083	Martin Luther University Of Halle Wittenberg
00382	-8.800577	096500C2	University Of Cape Town
00383	-8.802152	09E0EB5B	Gunma University
00384	-8.802333	08E4D2D6	University Of Antwerp
00385	-8.802894	06967BF9	Islamic Azad University
00386	-8.803296	07BF4570	Albert Einstein College Of Medicine
00387	-8.804109	0016B1BD	David Geffen School Of Medicine At Ucla
00388	-8.804401	020C2C91	Maastricht University
00389	-8.805149	345636E5	Grupo Mexico
00390	-8.806712	06415983	Nihon University
00391	-8.809148	04281A41	University Of Chile
00392	-8.810793	06156041	University Of Siena
00393	-8.812142	0B4CEC90	Kansas State University
00394	-8.815046	04F0A8A0	Beihang University
00395	-8.816184	077C8BDD	Tokyo Medical And Dental University
00396	-8.819713	039459BF	Polytechnic University Of Valencia
00397	-8.820392	0AC7AC2B	Pfizer
00398	-8.820679	0A9418E0	Polytechnic University Of Turin
00399	-8.823553	01DF6D2D	Kyungpook National University
00400	-8.824629	0C33EF81	University Of Paris
00401	-8.831041	0112E226	Simon Fraser University
00402	-8.831729	08F7F83A	Emory University
00403	-8.844174	0B9CA1B5	Feinberg School Of Medicine
00404	-8.847828	02243A1A	Kyung Hee University
00405	-8.848252	083570F5	University Of Michigan Health System
00406	-8.850527	087E04C5	Ecole Polytechnique
00407	-8.856718	025F5CB1	Pierre And Marie Curie University
00408	-8.862796	02A66F75	University Of Houston
00409	-8.865095	4F10C1EB	French Institute For Research In Computer Science And Automation
00410	-8.868610	36729DCA	Wageningen University And Research Centre
00411	-8.868829	09032505	National Scientific And Technical Research Council
00412	-8.872405	04EAD036	Auburn University
00413	-8.874260	016D6331	University Of Tehran
00414	-8.877062	0A962E6A	University Of Ulsan College Of Medicine
00415	-8.881348	0BB40DCF	University Of Ulm
00416	-8.883333	09E03D32	Oregon Health Science University
00417	-8.883673	0C0CFC14	King S College Cambridge
00418	-8.892480	05669A68	South China University Of Technology
00419	-8.893151	4E9992C8	National Academy Of Sciences
00420	-8.893323	04B9147D	University Of Seville
00421	-8.894364	06041575	University College Dublin
00422	-8.894554	078DF811	University Of Maryland Baltimore
00423	-8.895785	03135E95	University Of Bath
00424	-8.897231	092D7CCF	University Of Ljubljana
00425	-8.897409	4E78BE27	Beth Israel Deaconess Medical Center
00426	-8.897740	0F36910E	University Of Zaragoza
00427	-8.901232	0708D687	Hoffmann La Roche
00428	-8.902185	0C3C3D64	Trinity College
00429	-8.903740	0762929E	Pohang University Of Science And Technology
00430	-8.908152	0617689C	University Of Paris Sud
00431	-8.911718	04468646	University Of Louisiana At Monroe
00432	-8.914678	048AEF89	Lanzhou University
00433	-8.915060	36D0A3A4	Perelman School Of Medicine At The University Of Pennsylvania
00434	-8.921886	01739E09	University Of Buenos Aires
00435	-8.923062	066A71BC	University Of Notre Dame
00436	-8.924498	0100E2FE	University Of St Andrews
00437	-8.927166	0662D0FC	Kagoshima University
00438	-8.927986	02585490	Humboldt University Of Berlin
00439	-8.928455	092321E1	Medical University Of South Carolina
00440	-8.932185	0AC1438B	University Of Bremen
00441	-8.932489	0653F611	University Of Central Florida
00442	-8.932873	0A6C6FB4	University Of Patras
00443	-8.941607	043B1E1B	Syracuse University
00444	-8.942667	07802943	Beijing Institute Of Technology
00445	-8.943811	08ADCF85	University Of Miami
00446	-8.946459	00247093	Japan Atomic Energy Research Institute
00447	-8.946882	4F076E00	Siemens
00448	-8.947086	07698D3B	University Of London
00449	-8.949108	0A6604CB	National Technical University Of Athens
00450	-8.949602	0B6FD996	Inha University
00451	-8.951947	0A5DBE7D	Yamaguchi University
00452	-8.955973	007B4591	Clemson University
00453	-8.956029	06167391	Linkoping University
00454	-8.957071	09F07E1F	University Of Pittsburgh School Of Medicine
00455	-8.964143	11088B38	Emory University School Of Medicine
00456	-8.967151	0A3EE016	Forschungszentrum Julich
00457	-8.968186	0084A3B8	University Of Oklahoma
00458	-8.968933	11CCA825	Swedish University Of Agricultural Sciences
00459	-8.969006	040AF21A	Helsinki University Of Technology
00460	-8.971029	00470615	University Of Warsaw
00461	-8.977132	0B4329BF	Glaxosmithkline
00462	-8.978817	09FFB116	Institute Of Chemical Technology
00463	-8.979014	0B003FA6	Georgetown University
00464	-8.981354	4D0C933D	Toshiba
00465	-8.982889	08ABF65F	Cairo University
00466	-8.984145	00090A43	Indiana University
00467	-8.984623	03FAAFFE	Council Of Scientific And Industrial Research
00468	-8.984895	06CCE1C6	Goethe University Frankfurt
00469	-8.986407	0AA4D3ED	Mie University
00470	-8.989717	09E439DE	University Of Texas Health Science Center At San Antonio
00471	-8.990008	0A9589CF	Leonard M Miller School Of Medicine
00472	-8.992156	05628CAA	Medical Research Council
00473	-8.992622	0064DE74	Rmit School Of Medical Sciences
00474	-8.997236	0C2D7F2F	Medical College Of Wisconsin
00475	-8.997507	4E15D391	St George S Hospital
00476	-9.003183	0B7B2289	University Of The Witwatersrand
00477	-9.009100	4DA090C2	United States Environmental Protection Agency
00478	-9.014693	0207FCCD	Juntendo University
00479	-9.016668	0963D13D	Pasteur Institute
00480	-9.016776	003E1361	University Of Belgrade
00481	-9.019468	36A19626	Kindai University
00482	-9.022297	0C2FE58D	Washington University In St Louis
00483	-9.024009	0092C1B8	Polytechnic University Of Catalonia
00484	-9.032081	09EA1A37	Queen Mary University Of London
00485	-9.032741	026CB1B0	Kyoto Prefectural University Of Medicine
00486	-9.035234	0B890E85	George Washington University
00487	-9.036776	049573B2	University Of Coimbra
00488	-9.038715	00B89992	West Virginia University
00489	-9.041756	070DD5D4	Nec
00490	-9.051443	08F452CF	University Of Electronic Science And Technology Of China
00491	-9.052518	0BBD8EF9	Imec
00492	-9.053569	030C9F14	Massey University
00493	-9.056024	351E811C	Aalborg University
00494	-9.061317	0A254897	National University Of Defense Technology
00495	-9.068234	4E592AE2	Tokai University
00496	-9.068914	4D1139C8	Ford Motor Company
00497	-9.072142	062D596B	University Of California Riverside
00498	-9.072585	08E5641F	Thomas Jefferson University
00499	-9.074229	0108016A	University Of Alabama
00500	-9.074673	4F5B50D5	University Of Hawaii
00501	-9.077559	0C1EB600	University Of Lyon
00502	-9.084236	04254A53	University Of Pretoria
00503	-9.085331	043B0D41	London School Of Hygiene Tropical Medicine
00504	-9.085398	0BB40002	Chungnam National University
00505	-9.085441	0BD2B099	National Heart Lung And Blood Institute
00506	-9.086773	03369A6C	Technische Hochschule
00507	-9.087963	0557A80F	Yokohama City University
00508	-9.088050	0B78A521	York University
00509	-9.090037	0404AD5B	Lancaster University
00510	-9.095667	4DA9DEC2	Academy Of Medical Sciences United Kingdom
00511	-9.098573	0489B9A5	Medical University Of Vienna
00512	-9.098792	05CEA7C0	University Of Wales
00513	-9.102455	07C4E139	Universiti Putra Malaysia
00514	-9.110852	09B136B8	University Of Sussex
00515	-9.111275	002A8083	Institute For Materials Research
00516	-9.112171	501CEEC2	Howard Hughes Medical Institute
00517	-9.117305	05BDC90E	National Yang Ming University
00518	-9.117918	06288C9F	Catholic University Of The Sacred Heart
00519	-9.119697	03D374B7	Kitasato University
00520	-9.119841	03FED160	Carleton University
00521	-9.120535	088F1129	East China University Of Science And Technology
00522	-9.120867	0C355FDC	University Of Wollongong
00523	-9.122838	09DAE0E3	University Of Oviedo
00524	-9.126517	030F0C3B	Institute Of Medical Sciences Banaras Hindu University
00525	-9.126640	06910155	University Of Delhi
00526	-9.126886	02047FF4	University Of Malaya
00527	-9.129584	0581F5D5	University Of Science And Technology Beijing
00528	-9.133155	0153C041	National Central University
00529	-9.137363	08D6D550	Netherlands Organisation For Applied Scientific Research
00530	-9.138451	0B56FA70	University Of Innsbruck
00531	-9.138584	018C5555	University Of Wurzburg
00532	-9.139088	0C601A7F	Slovak Academy Of Sciences
00533	-9.140427	00BBEBAA	Texas Tech University
00534	-9.141832	0B04728E	Virginia Commonwealth University
00535	-9.146329	0054DD96	University Of Bari
00536	-9.147686	012F9023	University Of Montpellier
00537	-9.151450	05F5F76A	Brigham Young University
00538	-9.151591	037FF1C8	Korea Institute Of Science And Technology
00539	-9.153550	0435E318	Tehran University Of Medical Sciences
00540	-9.153675	00460217	Tottori University
00541	-9.154660	0ACF14C4	University Of Zagreb
00542	-9.156323	00CD8766	Vrije Universiteit Brussel
00543	-9.157524	0395F208	Concordia University
00544	-9.160959	08B22DAB	Indian Institute Of Technology Kharagpur
00545	-9.161397	03A0A15E	University Of Aveiro
00546	-9.162171	0507BBD7	Temple University
00547	-9.165658	016D0C5B	University Of Exeter
00548	-9.166722	06586461	Harvard T H Chan School Of Public Health
00549	-9.166952	088001DA	Pacific Northwest National Laboratory
00550	-9.167747	0C2AE079	Open University
00551	-9.168515	0BF1D8BD	University Of Puerto Rico
00552	-9.169507	0298727C	Ehime University
00553	-9.169827	04B11BDC	University Of Arkansas
00554	-9.170745	0B659C39	Xiamen University
